# Tue Jun 09 17:08:59 MST 2015
2-micrometer	circle	DNA
A	band
Acidocalcisome
Acidocalcisome	lumen
Acidocalcisome	membrane
Apical	cell	membrane
Apicolateral	cell	membrane
Archaeal	flagellum
Barr	body
Bunina	body
Bacterial	flagellum
Bacterial	flagellum	basal	body
Bacterial	flagellum	filament
Bacterial	flagellum	hook
Barrier	septum
Basal	cell	membrane
Basolateral	cell	membrane
Bud
Bud	membrane
Bud	neck
Bud	tip
C	bouton
C	zone
C-fiber
CA3	pyramidal	cell	dendrite
COPI	coated	vesicle
COPI	coated	vesicle	membrane
CVT	vesicle
Cajal	body
Casparian	strip
Cvt	vesicle	membrane
Carboxysome
Cell	envelope
Cell	inner	membrane
Cell	junction
Cell	membrane
Cell	outer	membrane
Cell	projection
Cell	septum
Cell	surface
Cell	tip
Cellular	chromatophore	membrane
Cellular	thylakoid
Cellular	thylakoid	lumen
Cellular	thylakoid	membrane
Chlorosome
Chromosome
Cleavage	furrow
Contractile	vacuole
Contractile	vacuole	lumen
Contractile	vacuole	membrane
COPI	coated	vesicle	lumen
COPII	coated	vesicle
COPII	coated	vesicle	lumen
COPII	coated	vesicle	membrane
Cornified	envelope
Cytoplasm
Cytoplasmic	granule
Cytoplasmic	granule	lumen
Cytoplasmic	granule	membrane
Cytoplasmic	vesicle
Cytoplasmic	vesicle	lumen
Cytoplasmic	vesicle	membrane
DNA	replication	termination	region
DNA	viral	genome
ER	body
ER	to	Golgi	transport	vesicle
ER	to	Golgi	transport	vesicle	membrane
ER-mitochondrion	membrane	contact	site
Early	endosome
Early	endosome	lumen
Early	endosome	membrane
Endomembrane	system
Endoplasmic	reticulum
Endoplasmic	reticulum	lumen
Endoplasmic	reticulum	membrane
Endoplasmic	reticulum-Golgi	intermediate	compartment
Endoplasmic	reticulum-Golgi	intermediate	compartment	lumen
Endoplasmic	reticulum-Golgi	intermediate	compartment	membrane
Endosome
Endosome	lumen
Endosome	membrane
F	bouton
Flemming	body
Fimbrium
Flagellar	pocket
Forespore
Forespore	inner	membrane
Forespore	intermembrane	space
Forespore	membrane
Forespore	outer	membrane
Gemini	of	coiled	bodies
Golgi	apparatus
Golgi	apparatus	part
Golgi	cis	cisterna
Golgi	cis	cisterna	membrane
Golgi	cisterna
Golgi	cisterna	membrane
Golgi	lumen
Golgi	medial	cisterna
Golgi	medial	cisterna	membrane
Golgi	membrane
Golgi	stack
Golgi	stack	lumen
Golgi	subcompartment
Golgi	to	ER	transport	vesicle
Golgi	to	ER	transport	vesicle	membrane
Golgi	to	plasma	membrane	transport	vesicle
Golgi	trans	cisterna
Golgi	trans	cisterna	membrane
Golgi	associated	vesicle
Golgi	associated	vesicle	lumen
Golgi	associated	vesicle	membrane
Gram-negative-bacterium-type	cell	wall
Gram-positive-bacterium-type	cell	wall
Glycosome
Glycosome	matrix
Glycosome	membrane
Glyoxysome
Glyoxysome	matrix
Glyoxysome	membrane
Golgi	apparatus	lumen
Golgi	apparatus	membrane
Golgi	stack	membrane
H	zone
Herring	body
Host
Host	apical	cell	membrane
Host	basolateral	cell	membrane
Host	cell
Host	cell	envelope
Host	cell	inner	membrane
Host	cell	junction
Host	cell	membrane
Host	cell	outer	membrane
Host	cell	projection
Host	cell	surface
Host	cell	wall
Host	cellular	thylakoid
Host	cellular	thylakoid	membrane
Host	chloroplast	envelope
Host	cytoplasm
Host	cytoplasmic	vesicle
Host	cytoplasmic	vesicle	membrane
Host	early	endosome
Host	early	endosome	membrane
Host	endomembrane	system
Host	endoplasmic	reticulum
Host	endoplasmic	reticulum	lumen
Host	endoplasmic	reticulum	membrane
Host	endoplasmic	reticulum-Golgi	intermediate	compartment
Host	endoplasmic	reticulum-Golgi	intermediate	compartment	membrane
Host	endosome
Host	endosome	membrane
Host	extracellular	space
Host	glyoxysome
Host	Golgi	apparatus
Host	Golgi	apparatus	membrane
Host	late	endosome
Host	late	endosome	membrane
Host	lipid	droplet
Host	lysosome
Host	lysosome	membrane
Host	membrane
Host	microsome
Host	microsome	membrane
Host	mitochondrion
Host	mitochondrion	envelope
Host	mitochondrion	inner	membrane
Host	mitochondrion	membrane
Host	mitochondrion	outer	membrane
Host	nucleus
Host	nucleus	envelope
Host	nucleus	inner	membrane
Host	nucleus	lamina
Host	nucleus	matrix
Host	nucleus	membrane
Host	nucleus	outer	membrane
Host	periplasm
Host	peroxisome
Host	rough	endoplasmic	reticulum
Host	rough	endoplasmic	reticulum	membrane
Host	smooth	endoplasmic	reticulum
Host	smooth	endoplasmic	reticulum	membrane
Host	thylakoid
Hydrogenosome
Hydrogenosome	lumen
Hydrogenosome	membrane
I	band
Inner	membrane	complex
LYSP100	associated	nuclear	domain
Lewy	body
Lewy	body	core
Lewy	body	corona
Lewy	body	like	hyaline	inclusion
Lewy	neurite
Late	endosome
Late	endosome	lumen
Late	endosome	membrane
Lateral	cell	membrane
Lipid	droplet
Lysosome
Lysosome	lumen
Lysosome	membrane
Lytic	vacuole
M	band
Maurer	's	cleft
M	line
Melanosome
Melanosome	lumen
Melanosome	membrane
Membrane
Membrane	raft
Microsome
Microsome	membrane
Midbody
Mitochondrion
Mitochondrion	envelope
Mitochondrion	inner	membrane
Mitochondrion	intermembrane	space
Mitochondrion	matrix
Mitochondrion	membrane
Mitochondrion	outer	membrane
Mitosome
Mitosome	envelope
Mitosome	inner	membrane
Mitosome	intermembrane	space
Mitosome	matrix
Mitosome	membrane
Mitosome	outer	membrane
Myelin	membrane
Nebenkern
Nematocyst
Nucleomorph
Nucleus
Nucleus	envelope
Nucleus	inner	membrane
Nucleus	intermembrane	space
Nucleus	lamina
Nucleus	matrix
Nucleus	membrane
Nucleus	outer	membrane
Nucleus	speckle
P1	peroxisome
P2	peroxisome
P3	peroxisome
P4	peroxisome
P5	peroxisome
P6	peroxisome
PHA	granule
PML	body
Pick	body
Parasitophorous	vacuole
Parasitophorous	vacuole	lumen
Parasitophorous	vacuole	membrane
P-body
Perikaryon
Periplasm
Periplasmic	flagellum
Peroxisome
Peroxisome	matrix
Peroxisome	membrane
Photoreceptor	inner	segment
Plastid
Plastid	envelope
Plastid	inner	membrane
Plastid	intermembrane	space
Plastid	membrane
Plastid	outer	membrane
Plastid	stroma
Plastid	thylakoid
Plastid	thylakoid	lumen
Plastid	thylakoid	membrane
Preautophagosomal	structure
Preautophagosomal	structure	membrane
Prevacuolar	compartment
Prevacuolar	compartment	lumen
Prevacuolar	compartment	membrane
Prospore
Prospore	membrane
Protein	storage	vacuole
Protein	storage	vacuole	lumen
Protein	storage	vacuole	membrane
Protoplasm
RNA	viral	genome
Recycling	endosome
Recycling	endosome	lumen
Recycling	endosome	membrane
Rough	endoplasmic	reticulum
Rough	endoplasmic	reticulum	lumen
Rough	endoplasmic	reticulum	membrane
S	bouton
S-layer
Schaffer	axon	collateral
Schmidt-Lanterman	incisure
Schwann	cell	microvillus
Sarcoplasmic	reticulum
Sarcoplasmic	reticulum	lumen
Sarcoplasmic	reticulum	membrane
Secreted
Smooth	endoplasmic	reticulum
Smooth	endoplasmic	reticulum	lumen
Smooth	endoplasmic	reticulum	membrane
Spore	core
Spore	core	membrane
Spore	polar	tube
Spore	wall
Symbiosome
Symplast
T-tubule
T	=	1	icosahedral	viral	capsid
T	=	13	icosahedral	viral	capsid
T	=	147	icosahedral	capsid
T	=	16	icosahedral	viral	capsid
T	=	169	icosahedral	viral	capsid
T	=	2	icosahedral	viral	capsid
T	=	219	icosahedral	capsid
T	=	25	icosahedral	viral	capsid
T	=	3	icosahedral	viral	capsid
T	=	4	icosahedral	viral	capsid
T	=	7	icosahedral	viral	capsid
T	=	pseudo3	icosahedral	viral	capsid
TOR	complex
Target	cell
Target	cell	membrane
Target	membrane
Tegument
Tegument	membrane
Thylakoid
Trichocyst
Ubisch	body
Vacuole
Vacuole	lumen
Vacuole	membrane
Virion
Virion	membrane
Virion	tegument
W	chromosome
Weibel-Palade	body
X	chromosome
XY	body
Y	chromosome
Yb	body
Z	chromosome
Z	disc
Z	line
acidocalcisome
acidocalcisome	lumen
acidocalcisome	membrane
acroblast
acrosomal	lumen
acrosomal	matrix
acrosomal	membrane
acrosomal	vesicle
actin	cap
actin	cortical	patch
actin	cytoskeleton
actin	filament	bundle
actin	rod
actin	tubule
active	sex	chromosome
actomyosin
actomyosin	contractile	ring
adherens	junction
adventitious	septum
aggresome
alae	of	collagen	and	cuticulin	based	cuticle	extracellular	matrix
aleurone	grain
aleurone	grain	lumen
aleurone	grain	membrane
alveolar	lamellar	body
alveolar	lamellar	body	membrane
ambisense	viral	genome
amorphous	vesicle
amphisome
amyloplast
amyloplast	envelope
amyloplast	inner	membrane
amyloplast	membrane
amyloplast	starch	grain
anammoxosome
anchored	component	of	cell	outer	membrane
anchored	component	of	external	side	of	plasma	membrane
anchored	component	of	membrane
anchored	component	of	periplasmic	side	of	cell	outer	membrane
anchored	component	of	plasma	membrane
anchored	component	of	the	cytoplasmic	side	of	the	plasma	membrane
anchoring	junction
annular	furrow	extracellular	matrix
annulate	lamellae
annuli	extracellular	matrix
antipodal	cell	nucleus
apical	complex
apical	cortex
apical	dendrite
apical	hemi-adherens	junction
apical	junction	complex
apical	lamina	of	hyaline	layer
apical	part	of	cell
apical	plasma	membrane
apical	pole	of	neuron
apicolateral	plasma	membrane
apicoplast
apoplast
apoptotic	body
arbuscule
archaeal-type	flagellum
ascospore	wall
ascospore-type	prospore
ascus	epiplasm
ascus	lipid	particle
ascus	membrane
