#
# measurement units, case insensitive so everything is lower case for simplicity
# the comments after // are required by UnitNormalizer for unit normalization! Do not remove
# note: multi-word phrases must be tokenized in the same way as our tokenizer. If not sure, try the phrases in ./shell first!
#
ng / ml                    // ng/ml::concentration
pg.ml-1                    // pg/ml::concentration
fg / μl                    // fg/μl::concentration
m3 / ha                    // m3/ha::areal density
m3/ ha                     // m3/ha::areal density
ml acre-1                  // ml/acre::areal density
cm2                        // cm2::area
m2 kg−1                    // m2/kg
m2 / kg                    // m2/kg
m3 / m3                    // m3/m3
m3 m-3                     // m3/m3
Mg m−3                     // Mg/m3::density
Mg / m3                    // Mg/m3::density
g / cm3                    // g/cm3::density
g cm−3                     // g/cm3::density
mole per cubic meter       // mol/m3::amount-of-substance concentration
gram per cubic meter       // g/m3::density
centimole per liter        // cmol/l::concentration
mol / m3                   // mol/m3::concentration
mol m−3                    // mol/m3::concentration
g m−3                      // g/m3::concentration
g / m3                     // g/m3::concentration
cmol / l                   // cmol/l::concentration
cmol l−1                   // cmol/l::concentration
cmol kg-1                  // cmol/kg::concentration
cmol kg                    // cmol/kg::concentration
cubic meter per hour       // m3/h::volumetric flow
m3 h−1                     // m3/h::volumetric flow
m3 / h                     // m3/h::volumetric flow
C                          // ˚C::temperature
˚C                         // ˚C::temperature
Celecius                   // ˚C::temperature
t m-3                      // t/m3::density
t / m3                     // t/m3::density
Mg / m3                    // Mg/m3::density
Mg m-3                     // Mg/m3::density
bushel                     // bushel::mass
bushels                    // bushel::mass
%                          // percent::proportion
percent                    // percent::proportion
kwh                        // kwh::electrical energy
kilowatt hours             // kwh::electrical energy
