# list of month names, case sensitive (because of "may" and "march")
January
january
JANUARY
Jan
jan
JAN
Jan.
jan.
JAN.
February
february
FEBRUARY
Feb
feb
FEB
Feb.
feb.
FEB.
March
MARCH
Mar
mar
MAR
Mar.
mar.
MAR.
