#
# List of holidays in the United States extracted from the Jollyday api.
# Each phrase before // is an alternative name of a holiday and must be in lower case.
# The comment after // is the canonical form given by Jollyday.
# This list of canonical forms can be obtained from GenerateHolidaysApp.
#
# Please try to alphabetize.
#
washington 's birthday                  //	WASHINGTONS_BIRTHDAY
washington birthday 					//	WASHINGTONS_BIRTHDAY
washington 's day   					//	WASHINGTONS_BIRTHDAY
washington day      					//	WASHINGTONS_BIRTHDAY
west virginia day						//	WEST_VIRGINIA
ash wednesday                           //  christian.ASH_WEDNESDAY
clean monday                            //  christian.CLEAN_MONDAY
easter                                  //  christian.EASTER
easter sunday                           //  christian.EASTER
easter monday							//	christian.EASTER_MONDAY
bright monday							//	christian.EASTER_MONDAY
renewal monday							//	christian.EASTER_MONDAY
good friday								//	christian.GOOD_FRIDAY
holy friday								//	christian.GOOD_FRIDAY
great friday							//	christian.GOOD_FRIDAY
great and holy friday					//	christian.GOOD_FRIDAY
holy and great friday					//	christian.GOOD_FRIDAY
mardi gras								//	christian.MARDI_GRAS
fat tuesday								//	christian.MARDI_GRAS
shrove tuesday							//	christian.MARDI_GRAS
pancake tuesday							//	christian.MARDI_GRAS
pentecost                               //  christian.PENTECOST
pentecost sunday                        //  christian.PENTECOST
