A band	SL-0476
Host cytoplasmic vesicle membrane	SL-0387
host cytoskeleton	SL-0383
host cytosol	SL-0384
Host early endosome	SL-0461
Host early endosome membrane	SL-0462
Host endomembrane system	SL-0398
Host endoplasmic reticulum	SL-0388
Host endoplasmic reticulum lumen	SL-0389
Host endoplasmic reticulum membrane	SL-0390
Host endoplasmic reticulum-Golgi intermediate compartment	SL-0391
Host endoplasmic reticulum-Golgi intermediate compartment membrane	SL-0392
Host endosome	SL-0393
Host endosome membrane	SL-0394
Host extracellular space	SL-0425
host filopodium	SL-0379
Host glyoxysome	SL-0474
Host Golgi apparatus	SL-0395
Host Golgi apparatus membrane	SL-0426
Host late endosome	SL-0399
Host late endosome membrane	SL-0400
Host lipid droplet	SL-0401
Host lysosome	SL-0403
Host lysosome membrane	SL-0404
Host membrane	SL-0380
Host microsome	SL-0405
Host microsome membrane	SL-0406
Host mitochondrion	SL-0407
Host mitochondrion envelope	SL-0408
Host mitochondrion inner membrane	SL-0409
Host mitochondrion membrane	SL-0410
Host mitochondrion outer membrane	SL-0411
host multivesicular body	SL-0453
host nucleolus	SL-0412
host nucleoplasm	SL-0413
Host nucleus	SL-0414
Host nucleus envelope	SL-0415
Host nucleus inner membrane	SL-0419
Host nucleus lamina	SL-0416
Host nucleus matrix	SL-0417
Host nucleus membrane	SL-0418
Host nucleus outer membrane	SL-0446
host perinuclear region	SL-0382
Host periplasm	SL-0420
Host peroxisome	SL-0475
host phagosome	SL-0432
host phagosome membrane	SL-0433
host plasmodesma	SL-0385
host presynaptic cell membrane	SL-0434
Host rough endoplasmic reticulum	SL-0422
Host rough endoplasmic reticulum membrane	SL-0423
Host smooth endoplasmic reticulum	SL-0444
Host smooth endoplasmic reticulum membrane	SL-0445
host synapse	SL-0435
Host thylakoid	SL-0449
host trans-Golgi network	SL-0463
host trans-Golgi network membrane	SL-0464
hyaline layer	SL-0143
Hydrogenosome	SL-0145
Hydrogenosome lumen	SL-0335
Hydrogenosome membrane	SL-0144
I band	SL-0478
Inner membrane complex	SL-0362
interphotoreceptor matrix	SL-0146
invadopodium	SL-0148
invadopodium membrane	SL-0290
kinetochore	SL-0149
kinetoplast	SL-0150
kinocilium	SL-0460
lamellipodium	SL-0291
lamellipodium membrane	SL-0292
Late endosome	SL-0152
Late endosome lumen	SL-0336
Late endosome membrane	SL-0151
Lateral cell membrane	SL-0153
Lipid droplet	SL-0154
Lysosome	SL-0158
Lysosome lumen	SL-0156
Lysosome membrane	SL-0157
Lytic vacuole	SL-0159
M line	SL-0315
Melanosome	SL-0161
Melanosome lumen	SL-0338
Melanosome membrane	SL-0160
Membrane	SL-0162
Membrane raft	SL-0370
microneme	SL-0163
microneme lumen	SL-0339
microneme membrane	SL-0164
Microsome	SL-0166
Microsome membrane	SL-0165
microtubule organizing center	SL-0484
microvillus	SL-0293
microvillus membrane	SL-0294
Midbody	SL-0469
Mitochondrion	SL-0173
Mitochondrion envelope	SL-0167
Mitochondrion inner membrane	SL-0168
Mitochondrion intermembrane space	SL-0169
Mitochondrion matrix	SL-0170
Mitochondrion membrane	SL-0171
mitochondrion nucleoid	SL-0269
Mitochondrion outer membrane	SL-0172
Mitosome	SL-0437
Mitosome envelope	SL-0438
Mitosome inner membrane	SL-0439
Mitosome intermembrane space	SL-0440
Mitosome matrix	SL-0441
Mitosome membrane	SL-0442
Mitosome outer membrane	SL-0443
multivesicular body	SL-0174
multivesicular body lumen	SL-0340
multivesicular body membrane	SL-0175
Myelin membrane	SL-0176
myofibril	SL-0312
Nematocyst	SL-0177
nuclear pore complex	SL-0185
nucleoid	SL-0187
nucleolus	SL-0188
Nucleomorph	SL-0189
nucleoplasm	SL-0190
Nucleus	SL-0191
Nucleus envelope	SL-0178
Nucleus inner membrane	SL-0179
Nucleus intermembrane space	SL-0184
Nucleus lamina	SL-0180
Nucleus matrix	SL-0181
Nucleus membrane	SL-0182
Nucleus outer membrane	SL-0183
Nucleus speckle	SL-0186
organellar chromatophore	SL-0351
organellar chromatophore inner membrane	SL-0359
organellar chromatophore intermembrane space	SL-0360
organellar chromatophore membrane	SL-0352
organellar chromatophore outer membrane	SL-0361
organellar chromatophore stroma	SL-0353
organellar chromatophore thylakoid	SL-0354
organellar chromatophore thylakoid lumen	SL-0355
organellar chromatophore thylakoid membrane	SL-0356
paranodal septate junction	SL-0192
Parasitophorous vacuole	SL-0194
Parasitophorous vacuole lumen	SL-0341
Parasitophorous vacuole membrane	SL-0193
P-body	SL-0230
peribacteroid membrane	SL-0195
peribacteroid space	SL-0196
Perikaryon	SL-0197
perinuclear region	SL-0198
perinuclear theca	SL-0199
Periplasm	SL-0200
Periplasmic flagellum	SL-0201
perispore	SL-0367
Peroxisome	SL-0204
Peroxisome matrix	SL-0202
Peroxisome membrane	SL-0203
phagocytic cup	SL-0473
phagosome	SL-0206
phagosome lumen	SL-0342
phagosome membrane	SL-0205
Photoreceptor inner segment	SL-0457
photoreceptor outer segment	SL-0458
phragmoplast	SL-0207
plasmodesma	SL-0208
Plastid	SL-0209
Plastid envelope	SL-0210
Plastid inner membrane	SL-0211
Plastid intermembrane space	SL-0212
Plastid membrane	SL-0213
plastid nucleoid	SL-0140
Plastid outer membrane	SL-0214
Plastid stroma	SL-0215
Plastid thylakoid	SL-0278
Plastid thylakoid lumen	SL-0309
Plastid thylakoid membrane	SL-0216
plastoglobule	SL-0217
PML body	SL-0465
podosome	SL-0295
podosome membrane	SL-0296
pollen coat	SL-0371
porosome	SL-0218
postsynaptic cell membrane	SL-0219
postsynaptic density	SL-0297
Preautophagosomal structure	SL-0220
Preautophagosomal structure membrane	SL-0221
presynaptic cell membrane	SL-0222
Prevacuolar compartment	SL-0223
Prevacuolar compartment lumen	SL-0343
Prevacuolar compartment membrane	SL-0224
primary cell wall	SL-0225
prolamellar body	SL-0226
Prospore	SL-0369
Prospore membrane	SL-0368
Protein storage vacuole	SL-0228
Protein storage vacuole lumen	SL-0344
Protein storage vacuole membrane	SL-0227
Protoplasm	SL-0229
pseudopodium	SL-0298
pseudopodium membrane	SL-0299
pseudopodium tip	SL-0471
Recycling endosome	SL-0232
Recycling endosome lumen	SL-0345
Recycling endosome membrane	SL-0231
rhoptry	SL-0233
rhoptry lumen	SL-0346
rhoptry membrane	SL-0234
Rough endoplasmic reticulum	SL-0235
Rough endoplasmic reticulum lumen	SL-0236
Rough endoplasmic reticulum membrane	SL-0237
ruffle	SL-0300
ruffle membrane	SL-0301
sarcolemma	SL-0238
sarcomere	SL-0313
sarcoplasm	SL-0311
Sarcoplasmic reticulum	SL-0239
Sarcoplasmic reticulum lumen	SL-0240
Sarcoplasmic reticulum membrane	SL-0241
secondary cell wall	SL-0242
Secreted	SL-0243
secretory vesicle	SL-0244
secretory vesicle lumen	SL-0347
secretory vesicle membrane	SL-0245
septate junction	SL-0246
S-layer	SL-0262
slime layer	SL-0247
