Cerebromicrovascular endothelial cell	TS-0092
Brain stem	TS-0093
Brainstem	TS-0093
Brain tumor	TS-0094
Brain tumour	TS-0094
Brain ventricle	TS-1295
Ventricular system	TS-1295
Ventricular system of brain	TS-1295
Branchia	TS-0096
Branchial arch region	TS-0097
Branchial gland	TS-0098
Bristle	TS-1176
Bronchiolar epithelial cell	TS-0570
Bronchoalveolar system	TS-1296
Bronchus	TS-1229
Bronchi	TS-1229
Bronchus epithelial cell	TS-1240
Bronchial epithelial cell	TS-1240
Bronchus respiratory epithelial cells	TS-1240
Bronchial epithelium cell	TS-1240
Brown adipose tissue	TS-0099
Brown adipocyte	TS-0099
Brown fat cell	TS-0099
Buccal ganglion	TS-0100
Buccal ganglia	TS-0100
Buccal muscle	TS-0101
Bulb	TS-0102
Bulbourethral gland	TS-0103
Bundle sheath cell	TS-0104
Bundle sheath strand	TS-0105
Bursa of Fabricius	TS-0106
Bursa	TS-0106
Cajal-Retzius cell	TS-1171
CR cell	TS-1171
Callus	TS-0107
Calli	TS-0107
Callus tissue	TS-0107
Calvaria	TS-0108
Concha of cranium	TS-0108
Skull cap	TS-0108
Cambium	TS-0109
Cancellous bone	TS-0110
Trabecular bone	TS-0110
Spongy bone	TS-0110
Cancellated bone	TS-0110
Cap	TS-0111
Mushroom cap	TS-0111
Capillary endothelium	TS-0112
Capillary endothelial cell	TS-0112
Carapace cuticle	TS-0113
Carcinoma	TS-0114
Epithelial cancer	TS-0114
Cardiac myocyte	TS-0115
Cardiac muscle cell	TS-0115
Cardiac cell	TS-0115
Cardiomyocyte	TS-0115
Heart muscle cell	TS-0115
Heart muscle myocyte	TS-0115
Heart muscle myocytes	TS-0115
Cardiovascular system	TS-1297
Carotid artery	TS-0116
Carpel	TS-0117
Cartilage	TS-0118
Cartilage chondrocyte	TS-0119
Caudal fin	TS-0120
Caudate nucleus	TS-0121
Caudate	TS-0121
Cecum	TS-0122
Caecum	TS-0122
Ceca	TS-0122
Caeca	TS-0122
Blind intestine	TS-0122
Blindgut	TS-0122
Intestinum caecum	TS-0122
Cement gland	TS-0123
Cementoblast	TS-1164
Central ganglion	TS-0124
Central ganglia	TS-0124
Cerebellum	TS-0125
Cerebellar	TS-0125
Cerebellum granular layer	TS-1247
Cerebellum cells in granular layer	TS-1247
Cerebellum molecular layer	TS-1248
Cerebellum cells in molecular layer	TS-1248
Cerebral artery	TS-0126
Cerebral ganglion	TS-0127
Cerebral ganglia	TS-0127
Cerebral pedal	TS-0128
Cerebral vascular smooth muscle	TS-0129
Cerebrospinal fluid	TS-0130
Cerebral spinal fluid	TS-0130
CSF	TS-0130
Cervical ganglion	TS-0132
Cervical ganglia	TS-0132
Cervicothoracic ganglion	TS-0133
Stellate ganglion	TS-0133
Stellate ganglia	TS-0133
Cervix	TS-0134
Uterine cervix	TS-0134
Cervix, uterine	TS-0134
Cervix adenocarcinoma	TS-0135
Cervical adenocarcinoma	TS-0135
Uterine cervix adenocarcinoma	TS-0135
Cervix cancer	TS-1221
Cervical cancer	TS-1221
Cervix malignant tumor	TS-1221
Cervix malignant tumour	TS-1221
Cervical malignant tumor	TS-1221
Cervical malignant tumour	TS-1221
Cervix carcinoma	TS-0136
Hela	TS-0136
Hela cells	TS-0136
Cervical carcinoma	TS-0136
Uterine cervix carcinoma	TS-0136
Cervix epithelium	TS-0137
Cervical epithelium	TS-0137
Uterine cervix epithelium	TS-0137
Cervix epithelial cell	TS-0137
Cervical epithelial cell	TS-0137
Uterine cervix epithelial cell	TS-0137
Cervix glandular cell	TS-1273
Uterine cervix glandular cell	TS-1273
Cervix, uterine glandular cell	TS-1273
Cervix, uterine glandular cells	TS-1273
Cervix squamous cell	TS-1251
Cervix squamous epithelial cell	TS-1251
	TS-1251
Uterine cervix squamous cell	TS-1251
Uterine cervix squamous epithelial cell	TS-1251
Cervix, uterine squamous epithelial cells	TS-1251
Chondrocyte	TS-0138
Chondrocytes	TS-0138
Chondrosarcoma	TS-0139
Chondrosarcoma tumor	TS-0139
Chorioallantoic membrane	TS-0140
Chorioamniotic membrane	TS-0141
Amnionic/chorionic membrane	TS-0141
Choriocarcinoma	TS-0142
Choriocarcinoma cell	TS-0142
Malignant trophoblast	TS-0142
Choriogenic follicle	TS-0143
Choriogenic follicular cell	TS-0143
Chorionic membrane	TS-0144
Choroid plexus	TS-0145
Chromaffin cell	TS-0146
Chromaffin granule	TS-0146
